ID,Date,Rank,Link,Watchface Name,Watchface Thumbnail,IsUnique,UI Style,"Graphical decoration(logo,background,screen border,container,divider,logo,design(=foreground graphic))",Color Hue (Color except balck white grey),Animation,Data Types,displayForm,Data+Display,OnlyIcon,"Watch type (Analog, Digital,Hybrid)",Sport tagged?,Number of data types,formFactor
18,2022-09-18,18,https://www.facer.io/watchface/VLoTaJlcSP?watchModel=applewatch7orange,Hello Fall,,yes,flat,design;,2,no;,time;date;day;steps;standing time;calories;temperature;weather;watch battery;,text;text;text;text;chart+icon+text;text;icon+text;icon+text;,steps=text;standing time=text;calories=text;heart rate=text;steps=chart+icon+text;temperature=text;weather=icon+text;watch battery=icon+text;,none;,digital,no;,8,apple
19,2022-09-18,19,https://www.facer.io/watchface/63CDBhe42S?watchModel=applewatchultraorange,HIGH N.6 - Explorer,,yes,flat,divider;,2,no;,time;date;day;distance;watch battery;week count;wind direction;,text;text;text;chart+text;,distance=text;watch battery=text;week count=text;wind direction=chart+text;,none;,digital,yes;,4,apple
20,2022-09-18,20,https://www.facer.io/watchface/0p5ugj1Y6W?watchModel=applewatch7orange,Halloween Love,,yes,flat,design;,2,no;,time;date;heart rate;steps;watch battery;,icon+text;icon+text;text;,heart rate=icon+text;steps=icon+text;watch battery=text;,none;,digital,no;,3,apple
21,2022-09-18,21,https://www.facer.io/watchface/tgAERPNEp4?watchModel=applewatchultragreen,HIGH N.30 - Eco Series,,yes,flat,container;,1,no;,time;date;day;watch battery;calories;exercise time;standing time;watch battery;week count;,chart+icon+text;chart+icon+text;chart+icon+text;chart+icon+text;text;,calories=chart+icon+text;exercise time=chart+icon+text;standing time=chart+icon+text;watch battery=chart+icon+text;week count=text;,none;,digital,yes;,5,apple
22,2022-09-18,22,https://www.facer.io/watchface/iKSlBRYb4m?watchModel=applewatch7black,DIGI HUD Master,,yes,flat,container;divider;,3,no;,time;date;day;weather;temperature;location;wind direction;wind speed;move value;heart rate;exercise time;steps;calories;watch battery;,icon+text;chart+icon+text;ext;icon+text;icon+text;chart+text;chart+text;chart+text;icon+text;icon+text;chart+text;,weather=icon+text;temperature=chart+icon+text;location=text;wind direction=icon+text;wind speed=icon+text;move value=chart+text;heart rate=chart+text;exercise time=chart+text;steps=icon+text;calories=icon+text;watch battery=chart+text;,none;,digital,no;,11,apple
23,2022-09-18,23,https://www.facer.io/watchface/QupXuWEJXQ?watchModel=applewatch4sportwhite,MOD-409 Active Weather,,yes,skeuomorphism,container;,0,no;,time;date;day;steps;calories;temperature;humidity;watch battery;exercise time;standing time;,text;text;text;text;text;text;text;,steps=text;calories=text;temperature=text;humidity=text;watch battery=text;exercise time=text;standing time=text;,none;,analog,no;,7,apple
24,2022-09-18,24,https://www.facer.io/watchface/1ecd1bq8bW?watchModel=applewatch7orange,AERO A-SPLAT,,yes,semi-flat,background;,5,no;,time;date;day;,none,none;,none;,digital,no;,0,apple
25,2022-09-18,25,https://www.facer.io/watchface/uf7fi9UMyz?watchModel=applewatch7black,TMJ D,,yes,flat,container;design;,5,no;,time;date;day;watch battery;move value;exercise time;standing time;,text;chart+text;chart+text;chart+text;,watch battery=text;move value=chart+text;exercise time=chart+text;standing time=chart+text;,none;,digital,yes;,4,apple
26,2022-09-18,26,https://www.facer.io/watchface/ezLoGISaEF?watchModel=applewatch7black,CFW DANGER DIGITAL 01S7,,yes,flat,container;background;,1,no;,time;date;day;steps;calories;heart rate;temperature;weather;wind speed;wind direction;moon;watch battery;,text;text;chart+text;text;text;text;text;icon;chart+icon;,steps=text;calories=text;heart rate=chart+text;temperature=text;weather=text;wind speed=text;wind direction=text;moon=icon;watch battery=chart+icon;,moon;,digital,no;,9,apple
27,2022-09-18,27,https://www.facer.io/watchface/KbkMgFZJaS?watchModel=applewatch6black,TMJ | Active KL,,yes,flat,design;,2,no;,time;date;day;watch battery;move value;exercise time;standing time;,text;chart+text;chart+text;chart+text;,watch battery=text;move value=chart+text;exercise time=chart+text;standing time=chart+text;,none;,digital,yes;,4,apple
